Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
3.892784090E-1,-2.39E+00,1.720500141E-1,9.459000587E0
3.932345710E-1,-2.45E+00,1.339500099E-1,9.421050072E0
3.971911870E-1,-2.62E+00,9.495000541E-2,9.439949989E0
4.011475710E-1,-2.74E+00,3.795000166E-2,9.459000587E0
4.051024380E-1,-2.95E+00,-3.80E-02,9.535950661E0
4.090588220E-1,-3.18E+00,-1.72E-01,9.631950378E0
4.130149760E-1,-3.37E+00,-2.29E-01,9.745950699E0
4.169711980E-1,-3.62E+00,-2.87E-01,9.804000854E0
4.209274290E-1,-3.81E+00,-4.02E-01,9.766050339E0
4.248831980E-1,-3.96E+00,-5.17E-01,9.651000023E0
4.288392030E-1,-4.04E+00,-5.74E-01,9.439949989E0
4.327952800E-1,-4.08E+00,-6.12E-01,9.094950676E0
4.367516640E-1,-4.12E+00,-7.08E-01,8.751000404E0
4.407081160E-1,-4.17E+00,-7.46E-01,8.463000298E0
4.446637310E-1,-4.27E+00,-8.23E-01,8.272050858E0
4.486199620E-1,-4.17E+00,-9.19E-01,8.023050308E0
4.525760490E-1,-4.17E+00,-9.76E-01,7.678050518E0
4.565323570E-1,-4.00E+00,-9.19E-01,7.333950520E0
4.604888180E-1,-3.93E+00,-7.08E-01,6.970050335E0
4.644453520E-1,-3.94E+00,-4.02E-01,6.643950462E0
4.684023520E-1,-3.91E+00,-1.14E-01,6.376050472E0
4.723599670E-1,-3.83E+00,2.100000083E-1,6.280050278E0
4.763162170E-1,-3.85E+00,4.590000212E-1,6.319050312E0
4.802720630E-1,-3.83E+00,6.889500618E-1,6.490950108E0
4.842279860E-1,-3.64E+00,8.800500631E-1,7.621050358E0
4.881842220E-1,-3.73E+00,1.206000090E0,9.517050743E0
4.921407610E-1,-3.75E+00,1.302000046E0,9.133950233E0
4.960974530E-1,-3.85E+00,1.263000011E0,8.904000282E0
5.000537460E-1,-3.69E+00,1.072050095E0,8.980050087E0
5.040102070E-1,-3.66E+00,9.949500561E-1,9.037950516E0
5.079667460E-1,-3.73E+00,9.949500561E-1,9.574050903E0
5.119232940E-1,-3.91E+00,9.760500193E-1,1.016805077E1
5.158795250E-1,-4.08E+00,9.760500193E-1,1.057005024E1
5.198360630E-1,-4.17E+00,9.379500151E-1,1.062705040E1
5.237926070E-1,-4.71E+00,1.110000014E0,9.937950134E0
5.277489910E-1,-5.15E+00,1.492950082E0,9.153000832E0
5.317052990E-1,-5.46E+00,1.723050117E0,9.037950516E0
5.356619180E-1,-4.37E+00,1.243950009E0,9.268050194E0
5.396169180E-1,-1.82E+00,-3.80E-02,9.249000549E0
5.435736110E-1,-7.46E-01,-6.70E-01,9.114000320E0
5.475297700E-1,-3.44E-01,-8.42E-01,8.712000847E0
5.514851540E-1,0.000000000E0,-6.70E-01,8.539950371E0
5.554413080E-1,2.290500104E-1,-4.97E-01,8.539950371E0
5.593976260E-1,7.080000043E-1,-5.17E-01,8.655000687E0
5.633543180E-1,1.129050016E0,-6.12E-01,8.655000687E0
5.673110870E-1,1.359000087E0,-6.89E-01,8.521050453E0
5.712674910E-1,1.168050051E0,-5.17E-01,8.041950226E0
5.752237990E-1,1.053000093E0,-2.68E-01,7.525050163E0
5.791801830E-1,9.949500561E-1,-2.10E-01,7.314000130E0
5.831361540E-1,1.225050092E0,-2.68E-01,7.066050529E0
5.870926930E-1,1.551000118E0,-3.06E-01,6.625050545E0
5.910491540E-1,1.857000113E0,-2.87E-01,6.300000191E0
5.950058270E-1,2.143949986E0,-3.63E-01,6.070050240E0
5.989627500E-1,2.296950102E0,-3.82E-01,5.974050522E0
6.029196730E-1,2.392950058E0,-4.97E-01,6.012000084E0
6.068762010E-1,2.488950014E0,-6.12E-01,5.974050522E0
6.108321240E-1,2.661000013E0,-7.85E-01,5.839950085E0
6.147882780E-1,2.814000130E0,-9.57E-01,5.782950401E0
6.187444760E-1,2.239950180E0,-8.23E-01,5.668050289E0
6.227004760E-1,1.953000069E0,-6.89E-01,5.668050289E0
6.266564760E-1,1.933950067E0,-6.12E-01,5.782950401E0
6.306127740E-1,2.143949986E0,-6.31E-01,5.859000206E0
6.345693120E-1,2.317050219E0,-8.04E-01,5.821050167E0
6.385257740E-1,2.661000013E0,-9.76E-01,5.647950172E0
6.424819950E-1,3.274050236E0,-1.19E+00,5.457000256E0
6.464383790E-1,3.886950254E0,-1.32E+00,5.227050304E0
6.503946100E-1,4.270050049E0,-1.40E+00,4.978050232E0
6.543511290E-1,4.480050087E0,-1.55E+00,4.653000355E0
6.583072830E-1,4.633950233E0,-1.78E+00,4.345950127E0
6.622637450E-1,4.729050159E0,-2.07E+00,3.963000298E0
6.662202740E-1,4.843950272E0,-2.34E+00,3.657000065E0
6.701764280E-1,4.768050194E0,-2.66E+00,3.427050114E0
6.741329670E-1,4.500000000E0,-2.99E+00,3.102000237E0
6.780895140E-1,4.039950371E0,-3.43E+00,2.719050169E0
6.820461300E-1,3.637950182E0,-3.85E+00,2.317050219E0
6.860025140E-1,3.255000114E0,-4.33E+00,2.106000185E0
6.899582160E-1,2.106000185E0,-4.25E+00,1.627050042E0
6.939139860E-1,1.033950090E0,-4.00E+00,1.378050089E0
6.978699090E-1,4.969500303E-1,-3.93E+00,1.455000043E0
7.018253410E-1,4.020000100E-1,-4.08E+00,1.417050123E0
7.057811110E-1,8.040000200E-1,-4.44E+00,1.302000046E0
7.097369570E-1,1.396950126E0,-4.83E+00,1.302000046E0
7.136926250E-1,1.857000113E0,-5.09E+00,1.243950009E0
7.176483170E-1,2.202000141E0,-4.75E+00,1.608000040E0
7.216034710E-1,2.565000057E0,-4.14E+00,2.068050146E0
7.255591440E-1,3.217050076E0,-3.87E+00,2.278050184E0
7.295152970E-1,3.637950182E0,-3.96E+00,2.335950136E0
7.334712970E-1,3.523050070E0,-4.29E+00,2.451000214E0
7.374271970E-1,3.217050076E0,-4.58E+00,2.470050097E0
