"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-2.705375198E-3,-3.617677002E0,7.218439178E0,4.912035370E0
7.296625059E-3,-3.726500702E0,7.401508484E0,5.115761719E0
1.729762508E-2,-3.550915833E0,7.384144592E0,5.419629822E0
2.729862509E-2,-3.032693481E0,7.246880035E0,5.659131775E0
3.730062488E-2,-2.705174561E0,7.004384308E0,5.752088470E0
4.730162490E-2,-2.578238525E0,6.943311310E0,5.853278046E0
5.730262492E-2,-2.695893860E0,7.031178589E0,5.995182953E0
6.730462518E-2,-2.870430908E0,7.097490692E0,6.062542877E0
7.730562473E-2,-2.927761688E0,7.210206299E0,6.067332916E0
8.730662474E-2,-2.952610016E0,7.170089722E0,6.059100037E0
9.730862500E-2,-2.948269043E0,7.079378357E0,5.962550812E0
1.073096250E-1,-2.892435150E0,6.995103607E0,5.844446411E0
1.173106250E-1,-2.957699432E0,6.838080139E0,5.728886719E0
1.273126248E-1,-2.950963440E0,6.766678619E0,5.699697418E0
1.373136248E-1,-2.947819977E0,6.676715698E0,5.846092987E0
1.473156251E-1,-2.931952972E0,6.621181183E0,6.157146149E0
1.573166251E-1,-2.778372345E0,6.572083282E0,6.468498688E0
1.673176251E-1,-2.632575531E0,6.416407013E0,6.745123444E0
1.773196249E-1,-2.397115173E0,6.205944672E0,6.861132202E0
1.873206249E-1,-2.051184540E0,5.925128632E0,6.857539673E0
1.973216250E-1,-1.699416046E0,5.612728271E0,6.800807648E0
2.073236248E-1,-1.392254791E0,5.391937408E0,6.704707489E0
2.173246248E-1,-1.122216339E0,5.249284058E0,6.668931885E0
2.273256248E-1,-1.166524200E0,5.021607513E0,6.757098541E0
2.373276250E-1,-1.403331757E0,4.881049805E0,6.700516205E0
2.473286251E-1,-1.903441772E0,4.988077240E0,6.918013916E0
2.573296251E-1,-2.562670898E0,5.459746399E0,7.546257477E0
2.673316249E-1,-2.828967133E0,6.016588440E0,8.862470398E0
2.773326249E-1,-3.016976166E0,6.508166199E0,1.080108902E1
2.873336249E-1,-3.332370300E0,6.898255005E0,1.257834320E1
2.973356252E-1,-3.860621796E0,7.137607269E0,1.390458527E1
3.073366252E-1,-3.904630280E0,6.831493835E0,1.387928787E1
3.173376247E-1,-3.164868622E0,6.729705505E0,1.230890350E1
3.273396250E-1,-1.787882080E0,7.249724121E0,9.839638367E0
3.373406250E-1,-2.486329651E-1,8.135731659E0,7.080875244E0
3.473416250E-1,8.973838806E-1,9.177565155E0,4.980293427E0
3.573436248E-1,1.270108795E0,1.038585251E1,4.110901337E0
3.673446248E-1,1.136586456E0,1.148830994E1,4.710254974E0
3.773456248E-1,7.896080017E-1,1.223525665E1,6.032754822E0
3.873476251E-1,3.794609070E-1,1.238958572E1,7.418123932E0
3.973486251E-1,1.883084106E-1,1.254945328E1,9.010662231E0
4.073506249E-1,-1.311273193E-1,1.305555084E1,1.036235138E1
4.173516249E-1,-4.400848389E-1,1.391820694E1,1.095002930E1
4.273526249E-1,-6.700067139E-1,1.485166580E1,1.054003189E1
4.373546247E-1,-9.527687073E-1,1.521600815E1,9.101672974E0
4.473556248E-1,-1.284179535E0,1.484942047E1,7.362589417E0
