"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.228422916E-1,2.009122009E1,-9.128916321E0,4.427343292E0
9.328442914E-1,1.823702591E1,-1.089105194E1,5.014871521E0
9.428462917E-1,1.682740723E1,-1.158710449E1,5.941893768E0
9.528472917E-1,1.552182220E1,-1.161419815E1,6.549779663E0
9.628492915E-1,1.431233734E1,-1.127395569E1,6.155499573E0
9.728502915E-1,1.338636292E1,-1.072085587E1,5.657036133E0
9.828522913E-1,1.286814056E1,-9.556427307E0,4.796625366E0
9.928532913E-1,1.267234772E1,-7.901768188E0,3.956123199E0
1.002855292E0,1.256412277E1,-6.265820160E0,3.733236694E0
1.012857291E0,1.234033813E1,-4.991520081E0,4.005520477E0
1.022858291E0,1.206970093E1,-4.115092621E0,4.481829987E0
1.032860292E0,1.188513474E1,-3.424877930E0,4.621190186E0
1.042861292E0,1.215981354E1,-2.893482971E0,4.761897583E0
1.052863291E0,1.284179535E1,-2.189646606E0,4.959786072E0
1.062864291E0,1.287053558E1,-1.899849243E0,4.658312988E0
1.072866292E0,1.263372803E1,-2.085163879E0,4.331542511E0
1.082868292E0,1.189696014E1,-2.606529694E0,4.259841614E0
1.092869292E0,1.087249054E1,-3.522924042E0,4.113446045E0
1.102871291E0,1.011386810E1,-4.455634460E0,4.330794067E0
1.112872291E0,9.811496887E0,-4.705614624E0,5.376369781E0
1.122874292E0,9.995015259E0,-4.244723053E0,5.482948151E0
1.132875292E0,1.077698914E1,-3.262315979E0,5.634133759E0
1.142877291E0,1.135823044E1,-1.736389160E0,6.200106812E0
1.152878291E0,1.115300720E1,-6.810836792E-1,5.649402008E0
1.162880292E0,1.106409210E1,-4.930746460E-1,4.417912903E0
1.172882291E0,1.072504715E1,-3.737727356E-1,3.961212616E0
1.182883292E0,9.973909149E0,-1.508862305E-1,3.676354980E0
1.192885291E0,9.518256683E0,5.089416504E-3,3.436853027E0
1.202886291E0,9.074878693E0,9.460327148E-2,3.240910492E0
