"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.005291637E-3,-5.866300964E-1,3.875141602E0,4.001927948E0
1.200629165E-2,-9.521699524E-1,3.808081055E0,4.729415131E0
2.200829145E-2,-1.616937561E0,3.654201050E0,5.542973328E0
3.200929146E-2,-2.560126190E0,2.803520050E0,6.210585022E0
4.201029148E-2,-2.509082336E0,2.861599274E0,5.963299255E0
5.201229174E-2,-2.404000854E0,3.514391785E0,5.409900055E0
6.201329175E-2,-2.930755463E0,3.338058472E0,4.380790100E0
7.201429177E-2,-3.248245239E0,2.709665222E0,2.851719818E0
8.201529179E-2,-2.763104095E0,1.760788422E0,1.692979431E0
9.201729158E-2,-1.771116943E0,1.812281342E0,8.646020508E-1
1.020182916E-1,-1.706900482E0,2.067051544E0,-4.299060059E-1
1.120202919E-1,-2.372117157E0,1.557361450E0,-1.077758789E0
1.220212914E-1,-3.155288544E0,5.391787720E-1,-1.496138763E0
1.320222914E-1,-3.366948395E0,-3.655398560E-1,-1.532812500E0
1.420242917E-1,-2.488425293E0,-9.644444275E-1,-8.840615845E-1
1.520252917E-1,-1.966460724E0,-1.362766113E0,-1.137634277E-1
1.620262917E-1,-1.602417755E0,-1.543440399E0,-4.087998962E-1
1.720272917E-1,-1.085542603E0,-2.155218201E0,-1.695374451E0
1.820292915E-1,-1.013841705E0,-3.629951477E0,-2.818788300E0
1.920302915E-1,-1.363065491E0,-5.071004791E0,-3.415597229E0
2.020312916E-1,-2.309098206E0,-5.395529938E0,-2.979404297E0
2.120332918E-1,-3.787424011E0,-6.091283112E0,-2.139800262E0
2.220342918E-1,-5.206772461E0,-7.853418732E0,-1.255738678E0
2.320352918E-1,-6.443800049E0,-8.715027008E0,2.276765442E-1
2.420362919E-1,-7.262747040E0,-8.831185455E0,2.129022675E0
2.520382917E-1,-8.246201935E0,-9.401499481E0,4.409380646E0
2.620392917E-1,-8.835526428E0,-1.018736526E1,6.531517639E0
2.720402917E-1,-8.721463623E0,-1.037193146E1,7.911048889E0
2.820422915E-1,-8.914412384E0,-1.042327469E1,8.607400818E0
2.920432915E-1,-1.132904114E1,-1.076097244E1,9.165590057E0
3.020442915E-1,-1.536240372E1,-1.020068756E1,8.862769775E0
3.120462918E-1,-1.953991653E1,-8.819060669E0,7.860454102E0
3.220472918E-1,-2.164678528E1,-6.984176331E0,2.957549744E0
3.320482918E-1,-2.230406845E1,-6.823111267E0,3.937561798E0
3.420492918E-1,-2.233280869E1,-6.923253021E0,6.685098267E0
3.520512916E-1,-2.186518112E1,-6.338718567E0,7.771089935E0
3.620522916E-1,-2.169842789E1,-5.984704742E0,7.951614532E0
3.720532916E-1,-2.261976196E1,-5.512736206E0,8.785231018E0
3.820552914E-1,-2.320938583E1,-4.436773682E0,9.583970032E0
3.920562915E-1,-2.242905853E1,-3.534150696E0,9.545200653E0
4.020572915E-1,-2.262619858E1,-3.264411621E0,9.005572815E0
4.120592917E-1,-2.284698944E1,-3.398832092E0,9.158854065E0
4.220602917E-1,-1.988494904E1,-2.005230103E0,8.852590942E0
4.320612918E-1,-1.786175629E1,-2.061812439E0,8.612190857E0
4.420632916E-1,-1.608540024E1,-1.943558350E0,7.356152802E0
4.520642916E-1,-1.499910919E1,-2.878663788E0,6.534661102E0
4.620652916E-1,-1.467922440E1,-2.859653320E0,6.118077393E0
4.720662916E-1,-1.410202469E1,-2.639311523E0,4.725223846E0
4.820682919E-1,-1.293789551E1,-4.059408417E0,6.296506348E0
4.920692914E-1,-1.360775253E1,-4.045487366E0,6.203549652E0
5.020702914E-1,-1.367750748E1,-3.318000183E0,5.617368622E0
5.120722917E-1,-1.372525818E1,-2.918031921E0,5.480104065E0
5.220732917E-1,-1.409334274E1,-3.391347656E0,4.525090027E0
5.320742917E-1,-1.292547134E1,-4.546046448E0,4.194727020E0
5.420762915E-1,-1.106349335E1,-5.090164948E0,5.316643982E0
5.520772915E-1,-1.010683273E1,-5.121300201E0,6.374793549E0
5.620782916E-1,-9.633217621E0,-5.322481842E0,5.435496826E0
5.720802918E-1,-1.007435028E1,-5.604495392E0,5.211861877E0
5.820812918E-1,-1.023676254E1,-5.264103241E0,5.058580627E0
5.920822918E-1,-9.423503723E0,-4.787943420E0,3.859424286E0
6.020832919E-1,-8.677604828E0,-4.612358551E0,2.029329987E0
6.120852917E-1,-7.548802185E0,-4.423451385E0,-4.381388855E-1
6.220862917E-1,-6.763086090E0,-4.773872681E0,-1.465302887E0
6.320872917E-1,-6.238576813E0,-5.280868378E0,-1.518143005E0
6.420892915E-1,-3.885619812E0,-7.618856506E0,9.675878906E-1
6.520902915E-1,-2.654280396E0,-6.853498077E0,2.682122498E0
6.620912915E-1,-3.055595856E0,-6.284830627E0,1.750160522E0
6.720932918E-1,-4.398004303E0,-8.255033569E0,1.853146362E0
6.820942918E-1,-7.406448212E0,-7.601941681E0,8.385113068E0
6.920952918E-1,-8.962013397E0,-6.505621490E0,9.637558594E0
7.020972916E-1,-8.995543671E0,-5.753884735E0,5.071304169E0
7.120982916E-1,-6.834038544E0,-4.619543610E0,-3.192860413E0
7.220992916E-1,-4.735252991E0,-3.410657501E0,-9.082961884E0
7.321012914E-1,-5.967490540E0,-2.303110657E0,-9.506131897E0
7.421022914E-1,-8.345744934E0,-1.549278259E0,-5.525010681E0
7.521032915E-1,-9.957443390E0,-1.299597473E0,-3.137625275E0
7.621052917E-1,-1.166419418E1,-1.380728760E0,-3.332070923E0
7.721062917E-1,-1.242221786E1,-1.683698730E0,-2.691552887E0
7.821072917E-1,-1.068537964E1,-1.934127960E0,-1.640588379E-1
7.921092915E-1,-9.657616882E0,-3.416944427E0,-1.945953369E-3
8.021102916E-1,-8.935967560E0,-4.849315796E0,-1.194815369E0
8.121112916E-1,-8.224646759E0,-5.733078003E0,-2.528092804E0
8.221132918E-1,-8.117619324E0,-6.062692566E0,-3.480861511E0
8.321142918E-1,-8.196205902E0,-5.604196014E0,-4.332889709E0
8.421152919E-1,-8.723858643E0,-5.252876587E0,-4.726421356E0
8.521172917E-1,-9.472751312E0,-5.825885010E0,-4.275409241E0
8.621182917E-1,-1.050156189E1,-7.383246460E0,-1.708247681E0
8.721192917E-1,-1.050784882E1,-8.348139954E0,9.404942322E-1
8.821212915E-1,-8.106542358E0,-9.582922211E0,1.003812561E0
8.921222915E-1,-6.340664520E0,-9.920769653E0,-7.957452393E-1
9.021232915E-1,-8.103997650E0,-7.516768799E0,-2.354753265E0
9.121252918E-1,-1.702799011E1,-2.245779877E0,-4.741689606E0
9.221262918E-1,-1.438987610E1,-7.398065643E0,-8.747808838E-1
9.321272918E-1,-1.088745941E1,-8.238717499E0,-2.465672607E0
9.421292916E-1,-1.027328659E1,-7.157815247E0,-1.588347015E0
9.521302916E-1,-9.934541016E0,-9.190588074E0,1.336869965E0
9.621312916E-1,-1.075049423E1,-9.256151733E0,3.234024811E0
9.721332914E-1,-1.590098373E1,-6.302344208E0,5.777685242E0
9.821342914E-1,-2.255240204E1,-4.889881439E0,4.002377014E0
9.921359168E-1,-1.543021271E1,-5.548511810E0,2.263293457E0
1.002137917E0,-8.975784760E0,-7.883506165E0,1.905238037E0
1.012138917E0,-1.267564087E0,-8.246651001E0,4.699627075E0
1.022139917E0,2.451152802E0,-8.006400604E0,6.175258484E0
1.032141916E0,3.790717163E0,-8.468040619E0,5.906716919E0
1.042142916E0,2.854713593E0,-8.032745819E0,4.734654236E0
1.052143916E0,2.453996887E0,-6.417604523E0,3.558699646E0
1.062145917E0,1.495989075E0,-6.094725952E0,3.137325897E0
1.072146917E0,9.291178894E-1,-6.402785339E0,1.385967865E0
1.082147917E0,1.586999817E0,-6.211632843E0,5.313949585E-2
1.092149917E0,2.670895844E0,-5.873186646E0,2.736309814E-1
1.102150917E0,2.317480774E0,-6.687942352E0,-9.744735718E-2
1.112151917E0,-2.701881409E-1,-7.287894745E0,-1.681453400E0
1.122153917E0,-4.926704865E0,-7.326514435E0,-4.487817535E0
1.132154916E0,-8.234077148E0,-6.919959869E0,-4.231550446E0
1.142155916E0,-8.794062653E0,-7.064259796E0,-1.534010010E0
1.152157917E0,-1.083491867E1,-5.632187805E0,-2.328557739E0
1.162158917E0,-1.089269852E1,-3.146756287E0,-2.142344971E0
1.172159917E0,-9.964179382E0,-2.207309875E0,-9.078620911E-1
1.182161917E0,-1.306767563E1,-5.296286316E0,7.872129822E-1
1.192162917E0,-1.605007370E1,-9.230704651E0,2.253114624E0
1.202163917E0,-1.530776733E1,-8.899742889E0,3.094065857E0
1.212165917E0,-9.567803650E0,-5.241051178E0,4.415817261E-2
1.222166917E0,-5.848038940E0,-3.744762726E0,-1.054557037E0
1.232168917E0,-7.889942780E0,-5.499264221E0,-1.702260132E0
1.242169917E0,-9.614955597E0,-6.374194794E0,-8.759783936E-1
1.252170917E0,-1.323053696E1,-6.756649475E0,1.942211151E0
1.262172916E0,-1.775427979E1,-5.335504761E0,2.652783508E0
1.272173916E0,-1.586356155E1,-3.461102600E0,6.053411865E-1
1.282174916E0,-1.050829788E1,-2.049088898E0,-1.422342224E0
1.292176917E0,-7.802823944E0,-2.089055786E0,-1.566492462E0
1.302177917E0,-6.603517914E0,-3.007845154E0,-1.067280579E0
1.312178917E0,-6.308032379E0,-4.037553864E0,-9.424401855E-1
1.322180917E0,-6.444847870E0,-4.714595947E0,-1.285377045E0
1.332181917E0,-6.490802307E0,-4.763544159E0,-1.903142395E0
1.342182917E0,-5.951473846E0,-3.917204132E0,-2.127226410E0
1.352184917E0,-3.765569458E0,-1.063688049E0,-9.005273438E-1
1.362185917E0,-2.622247009E0,-6.599775696E-1,-4.251159668E-1
1.372186916E0,-1.894759827E0,-1.327140198E0,-7.843688965E-2
1.382188917E0,9.849517822E-2,-2.065854034E0,5.526507568E-1
1.392189917E0,1.400337982E0,-2.980003052E0,7.674540710E-1
1.402191916E0,1.481020203E0,-4.718637543E0,1.906585236E0
1.412192916E0,1.447190552E0,-6.622378693E0,1.699116669E0
1.422193917E0,9.193881226E-1,-6.735992432E0,-1.249900818E-1
1.432195917E0,-3.703298950E-1,-5.059628448E0,-7.099736023E-1
1.442196917E0,2.529739380E-1,-5.495671692E0,-4.424798584E-1
1.452197917E0,3.608995056E-1,-5.689368896E0,-4.620890808E-1
1.462199917E0,9.610015869E-2,-5.355862427E0,-9.536668396E-1
1.472200917E0,4.790039062E-3,-4.953199768E0,-1.471140747E0
1.482201917E0,-8.858578491E-1,-6.767576752E0,-3.730242920E0
1.492203916E0,-6.099066925E0,-1.884640869E1,-7.460485840E0
1.502204916E0,-1.961311432E1,-4.280962692E1,-4.901407471E0
1.512206917E0,-1.284972885E1,-3.456582001E1,-1.963466949E0
1.522207917E0,1.939666443E0,6.706054688E-2,-1.232387238E0
1.532208917E0,5.451663208E-1,-2.408790894E0,-3.017724609E0
1.542210917E0,1.201551361E0,-3.402873688E0,-2.319277039E0
1.552211917E0,1.799857178E0,-3.621419220E0,-3.967798920E0
1.562212917E0,1.175804901E0,-4.710254974E0,-8.921896820E0
1.572214917E0,8.487350464E-1,-6.299500122E0,-9.949210510E0
1.582215917E0,8.505313110E-1,-8.447233887E0,-9.893077240E0
1.592216917E0,1.126257935E0,-1.966460724E1,-8.760083313E0
