"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.365416244E-4,1.732347565E0,-8.620573425E-1,6.495742035E0
1.043854142E-2,7.973918152E-1,-1.069825287E0,7.351811829E0
2.043954143E-2,2.269281006E-1,-1.507814484E0,8.042176208E0
3.044154169E-2,-1.557211761E0,-2.496807861E0,8.534652100E0
4.044254171E-2,-1.158441010E0,-2.639610901E0,9.425898743E0
5.044454150E-2,1.257385254E-1,-2.408940582E0,9.871821442E0
6.044554152E-2,9.339079285E-1,-2.204166412E0,9.795330505E0
7.044754131E-2,1.325343933E0,-1.900897064E0,9.402397614E0
8.044854132E-2,1.237776031E0,-1.524429932E0,8.911717987E0
9.045054158E-2,1.140328674E0,-1.301393738E0,8.556806030E0
1.004515416E-1,1.156045990E0,-1.444645844E0,8.362210693E0
1.104535414E-1,1.016835480E0,-1.874252472E0,8.178842010E0
1.204545414E-1,8.235873413E-1,-2.232457581E0,7.933352509E0
1.304565417E-1,5.788462830E-1,-2.384241943E0,7.600145416E0
1.404575417E-1,2.040257263E-1,-2.286495209E0,6.991211700E0
1.504595415E-1,-8.442443848E-2,-1.973945160E0,6.730903015E0
1.604615417E-1,5.478607178E-2,-1.679208069E0,7.055877228E0
1.704625417E-1,3.866459656E-1,-1.807640991E0,7.421716461E0
1.804645415E-1,7.197033691E-1,-2.267035675E0,7.850574646E0
1.904655416E-1,6.712042236E-1,-2.465971985E0,8.098159790E0
2.004675413E-1,4.712200928E-1,-2.729573822E0,7.775879974E0
2.104685414E-1,4.778063965E-1,-3.375480652E0,7.385192413E0
2.204705416E-1,9.280700684E-1,-3.620970154E0,7.183561707E0
2.304715416E-1,1.739832001E0,-3.192561035E0,7.333699493E0
2.404735414E-1,2.374811554E0,-2.398761749E0,7.741301880E0
2.504745414E-1,2.425256653E0,-1.776805115E0,8.051157532E0
2.604765417E-1,2.331252136E0,-1.561253357E0,8.184530182E0
2.704775417E-1,2.600093079E0,-1.566492462E0,7.919581146E0
2.804795415E-1,3.002755737E0,-1.845661926E0,6.944957886E0
2.904805415E-1,2.150877228E0,-3.243006134E0,5.575006714E0
