"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.985517914E-1,-2.888992310E-1,-8.612041168E0,-5.638325043E0
9.085527915E-1,-8.235873413E-1,-1.035127441E1,-9.670190735E0
9.185537915E-1,-1.726958771E0,-1.118234619E1,-8.519832916E0
9.285547915E-1,-2.205663300E0,-1.076082275E1,-6.326294403E0
9.385567917E-1,-3.812571716E-1,-9.157357178E0,-2.423610077E0
9.485577918E-1,1.588047638E0,-7.222331085E0,8.622070312E-2
9.585587918E-1,4.628375244E0,-5.276677094E0,-7.783813477E-3
9.685607916E-1,4.987628174E0,-2.583178253E0,3.712280273E-2
9.785617916E-1,2.687810669E0,-9.039701843E-1,-6.527925110E-1
9.885627916E-1,-1.865121460E0,-7.641609192E-1,-1.920506287E0
9.985647914E-1,-4.407734070E0,-1.368304596E0,-2.803819427E0
1.008565791E0,-3.889661407E0,-2.845283203E0,-2.484982452E0
1.018566791E0,-2.527793427E0,-4.037553864E0,-3.281027069E0
1.028568792E0,-1.998494110E0,-3.240760803E0,-3.848946075E0
1.038569792E0,-3.136427765E0,-1.595382385E0,-2.560126190E0
1.048570792E0,-5.367837524E0,-1.104702759E0,-7.247927856E-1
1.058571792E0,-5.897585907E0,-2.446662140E0,1.033001862E0
1.068573792E0,-5.292544098E0,-4.177812195E0,4.445755005E-2
1.078574792E0,-6.604116669E0,-3.622017975E0,-1.560804291E0
1.088575792E0,-6.565347290E0,-5.727838898E0,-2.902464294E0
1.098577791E0,-6.336922302E0,-7.373666382E0,-4.080215149E0
1.108578791E0,-5.895490265E0,-8.526419220E0,-4.693190460E0
1.118579791E0,-5.759572906E0,-8.665629730E0,-4.541256409E0
1.128581792E0,-4.465813293E0,-9.640702057E0,-5.693560181E0
1.138582792E0,-1.498533783E0,-9.552984467E0,-6.059998169E0
1.148583792E0,7.824229431E-1,-8.901389465E0,-5.701044617E0
1.158585791E0,1.426533508E-1,-9.023834839E0,-5.164111176E0
1.168586791E0,-2.512674866E0,-1.153411469E1,-5.924978943E0
1.178587792E0,-3.424279175E0,-1.345941101E1,-6.300697632E0
1.188589792E0,-1.949246521E0,-1.089374634E1,-5.245242462E0
1.198590792E0,-1.165925446E0,-8.412356415E0,-2.671793976E0
1.208591792E0,-8.029302979E-1,-5.879024506E0,-1.074765015E-1
1.218592791E0,-9.750723267E-1,-3.214714966E0,2.154020691E0
1.228594792E0,-5.756279755E0,-3.687282257E0,3.159180450E0
1.238595792E0,-5.282814331E0,-7.054679718E0,8.213420105E-1
1.248596792E0,-2.674937439E0,-1.235366043E1,-4.162993011E0
1.258598791E0,-1.913171539E0,-1.841829895E1,-7.961194611E0
1.268599791E0,-5.105882263E-1,-1.990770172E1,-9.623787231E0
1.278600791E0,2.146536255E-1,-1.726090576E1,-9.003327484E0
1.288602792E0,3.323089600E-2,-1.370505020E1,-6.878645782E0
1.298603792E0,-1.332229614E0,-1.207224564E1,-4.522395630E0
1.308604792E0,-1.688039703E0,-1.045545776E1,-2.085313568E0
1.318606792E0,-1.588945770E0,-9.094787292E0,-1.077908478E0
1.328607792E0,-2.164498901E-1,-9.489366760E0,-9.969268799E-1
1.338608792E0,-1.205443268E0,-1.039318726E1,-8.339158630E-1
1.348609792E0,-3.659589844E0,-1.023766068E1,-1.577270050E0
1.358611791E0,-4.318818970E0,-8.870553589E0,-1.566043396E0
1.368612791E0,-3.121758270E0,-7.373516693E0,-1.024020538E0
1.378613791E0,-2.453996887E0,-7.275620270E0,-5.426216125E-1
1.388615792E0,-1.952689362E0,-8.460855560E0,-3.796105957E-1
1.398616792E0,-2.344275055E0,-9.702972565E0,-2.047292633E0
1.408617792E0,-4.381837921E0,-9.334888000E0,-3.932622070E0
1.418619792E0,-6.154900818E0,-8.665180664E0,-4.309987335E0
1.428620792E0,-6.157595215E0,-8.509055328E0,-3.618575134E0
1.438621792E0,-5.072801056E0,-8.777896271E0,-3.257825317E0
1.448623792E0,-3.416195984E0,-9.637109528E0,-3.179388428E0
1.458624791E0,-1.393452301E0,-1.070903046E1,-3.372786255E0
1.468625791E0,-2.752775574E-1,-1.108415039E1,-3.941453705E0
1.478627792E0,-5.963598633E-1,-1.130598907E1,-3.786825256E0
1.488628792E0,-1.019679565E0,-1.050814819E1,-6.997947693E-1
1.498629792E0,-1.644929352E0,-1.005324417E1,-9.128018188E-1
1.508630792E0,-2.226020966E0,-1.159728333E1,-2.538121948E0
1.518632791E0,-2.040706329E0,-1.157213562E1,-1.742975464E0
1.528633791E0,-1.595831451E0,-9.537416840E0,-2.320025482E0
1.538634792E0,-1.356928253E0,-7.309000854E0,-2.068398743E0
1.548636792E0,-1.372495880E0,-7.032825165E0,-1.266665955E0
1.558637792E0,-2.183509369E0,-6.442602539E0,2.880010986E-1
1.568638792E0,-2.955603790E0,-5.380112000E0,1.162632294E0
1.578640792E0,-2.864593048E0,-5.000501404E0,4.077520752E-1
1.588641792E0,-2.830314331E0,-4.606520691E0,-9.011260986E-2
1.598642792E0,-2.674188995E0,-4.099524994E0,-2.642005920E-1
1.608644791E0,-2.511776733E0,-3.660188599E0,-6.098318481E-1
1.618645791E0,-2.106569366E0,-3.203937378E0,-8.858578491E-1
1.628646791E0,-1.812880096E0,-2.846630402E0,-1.122964783E0
1.638647791E0,-1.571581879E0,-2.565065918E0,-1.494192810E0
1.648649792E0,-1.334175568E0,-2.552941132E0,-1.913470917E0
1.658650792E0,-1.065634003E0,-2.685565338E0,-1.821562042E0
1.668651792E0,-5.553451538E-1,-3.410507812E0,-1.435365143E0
1.678653792E0,-9.527687073E-1,-1.451561462E1,3.007246399E-1
1.688654792E0,-7.940238190E0,-3.596346359E1,1.381028137E0
1.698655792E0,-1.184666473E1,-4.622073349E1,-1.492396545E-1
1.708657791E0,-6.797364807E0,-3.288047470E1,-1.799108734E0
1.718658791E0,-1.166823578E0,-1.450408859E1,-2.251917114E0
1.728659791E0,6.216572571E-1,-7.561825104E0,-3.384461975E-1
1.738661792E0,1.737137604E0,-4.949756927E0,8.271798706E-1
1.748662792E0,1.002465363E0,-5.065166931E0,5.429209900E-1
1.758663792E0,2.529739380E-1,-5.987997894E0,4.944218445E-1
1.768664792E0,-1.496887207E-2,-5.985453186E0,8.322692871E-1
1.778666792E0,-7.870632935E-1,-5.859714661E0,1.217268677E0
1.788667792E0,-2.091301117E0,-6.603817291E0,9.134005737E-1
1.798668792E0,-3.284320221E0,-7.500602417E0,3.333567810E-1
1.808670792E0,-4.006568298E0,-8.204738159E0,-2.101629639E-1
1.818671791E0,-4.337829437E0,-8.565637665E0,-5.631289673E-1
1.828672791E0,-4.603826294E0,-8.538843384E0,-6.935078430E-1
1.838674792E0,-4.621788940E0,-8.252788239E0,-6.267466736E-1
1.848675792E0,-3.791166229E0,-7.514523468E0,-7.447013855E-1
1.858676792E0,-3.051554260E0,-6.477480011E0,-6.626719666E-1
1.868678791E0,-2.452649689E0,-4.999453583E0,-5.782475281E-1
1.878680416E0,-1.283580780E0,-4.531077576E0,-6.906637573E-1
1.888681416E0,-4.366419983E-1,-4.014651489E0,-6.559359741E-1
1.898683417E0,7.634124756E-2,-3.667223969E0,-4.644841003E-1
1.908684417E0,2.442919922E-1,-3.454366608E0,-3.715274048E-1
1.918685417E0,2.351609802E-1,-3.245251465E0,-2.841091919E-1
1.928686417E0,6.795867920E-2,-3.115171967E0,-2.492317200E-1
1.938688416E0,-2.174977112E-1,-3.266956329E0,-1.477427673E-1
1.948689417E0,-5.328918457E-1,-4.157604218E0,-2.999761963E-1
1.958690417E0,-9.442364502E-1,-6.105653229E0,-9.003776550E-1
1.968692417E0,-1.600771179E0,-8.807983704E0,-1.820813599E0
1.978693416E0,-2.204765167E0,-1.175984528E1,-3.089126129E0
1.988694416E0,-2.688110046E0,-1.457504105E1,-4.583618317E0
1.998696417E0,-3.032843170E0,-1.672427170E1,-5.868546295E0
2.008697417E0,-3.102448425E0,-1.784588928E1,-6.710844727E0
2.018698417E0,-3.608096924E0,-1.879476608E1,-7.280709686E0
2.028700416E0,-4.981041870E0,-2.034015244E1,-7.371421051E0
2.038701416E0,-6.965016174E0,-2.151850204E1,-7.193890228E0
2.048702416E0,-8.890312500E0,-2.181353851E1,-7.005282440E0
2.058703416E0,-1.022987686E1,-2.167567520E1,-6.770869904E0
2.068705417E0,-1.074121353E1,-2.163690582E1,-6.086343384E0
2.078706417E0,-1.073507629E1,-2.169678131E1,-5.303022308E0
2.088707417E0,-1.026400589E1,-2.183000427E1,-4.510570221E0
2.098709417E0,-1.015143997E1,-2.259910492E1,-3.669768677E0
2.108710417E0,-9.811496887E0,-2.302826248E1,-2.875969391E0
2.118711417E0,-8.580456848E0,-2.257560379E1,-1.160985718E0
2.128713416E0,-6.338269501E0,-2.129920807E1,1.424288177E0
2.138714416E0,-3.337160339E0,-1.933484299E1,5.270090790E0
2.148715416E0,-3.405418396E-1,-1.732856506E1,9.492061157E0
2.158716416E0,2.405497742E-1,-1.577823898E1,5.840853882E0
2.168718417E0,1.571731567E-2,-1.384006943E1,3.256777496E0
2.178719417E0,4.453239441E-1,-1.133742371E1,2.185155945E0
2.188720417E0,1.039438477E0,-9.127868500E0,1.384770355E0
2.198722417E0,1.420695648E0,-7.383545837E0,7.505392456E-1
2.208723417E0,1.053808594E0,-5.768853607E0,1.248403931E-1
2.218724417E0,1.305135956E0,-4.145778809E0,-5.580395508E-1
2.228726416E0,2.592009888E0,-2.046843567E0,-5.637426910E0
2.238727416E0,2.847977600E0,-5.056484985E-1,-4.652924194E0
2.248728416E0,2.058219910E0,5.141807556E-1,-3.821103973E0
2.258730417E0,1.294807434E0,1.450034637E0,-3.098107452E0
2.268731417E0,-1.935475159E-1,2.504441986E0,-1.576820984E0
2.278732417E0,-1.140478363E0,3.627556458E0,-7.083270264E-1
2.288734416E0,-1.231938171E0,3.551514587E0,-1.402583313E0
2.298735416E0,-1.218316498E0,2.862946472E0,-2.527194672E0
2.308736417E0,-1.020428009E0,2.447111206E0,-3.262315979E0
2.318737417E0,-9.476792908E-1,2.220931549E0,-3.480113068E0
2.328739417E0,-1.150806885E0,1.940564575E0,-3.224893799E0
2.338740417E0,-1.258283386E0,1.605112152E0,-2.556084595E0
2.348741416E0,-1.213526459E0,1.405277710E0,-1.535506897E0
2.358743417E0,-1.120270386E0,1.224453735E0,-8.711883545E-2
2.368744417E0,-7.939489746E-1,1.174457703E0,1.169817352E0
2.378745417E0,-5.596861267E-1,1.302291870E0,1.754651184E0
2.388747416E0,-7.524851990E-1,1.237476654E0,1.837129669E0
2.398748416E0,-9.557624817E-1,9.684860229E-1,1.495240631E0
2.408749416E0,-1.000220032E0,5.668711853E-1,1.180295563E0
2.418751417E0,-9.797126770E-1,1.944456482E-1,1.018931122E0
2.428752417E0,-1.039438477E0,-9.056167603E-2,9.237290955E-1
2.438753417E0,-1.178499298E0,-3.465293884E-1,6.746470642E-1
2.448755417E0,-1.351389771E0,-6.054908752E-1,2.963836670E-1
2.458756417E0,-1.472038879E0,-8.631051636E-1,-2.694396973E-2
2.468757417E0,-1.758692780E0,-1.283730469E0,-1.229094086E0
2.478758417E0,-1.957329712E0,-1.818568268E0,-2.306852875E0
2.488760416E0,-1.896107025E0,-2.434088287E0,-2.733615417E0
2.498761416E0,-1.846859436E0,-3.590433655E0,-3.698808289E0
2.508762416E0,-1.766775970E0,-5.433401184E0,-3.697012024E0
2.518764417E0,-2.091001740E0,-1.058344162E1,-2.360142059E0
2.528765417E0,-2.920726318E0,-1.619033203E1,-1.412612457E0
2.538766417E0,-2.723586273E0,-2.288186691E1,-2.847977600E0
2.548768417E0,-1.363813934E0,-3.244263519E1,-4.753065948E0
2.558769417E0,-9.976753235E-1,-4.177602631E1,-7.316036224E0
2.568770417E0,-3.573069763E-1,-4.260350555E1,-8.594976654E0
2.578771417E0,-4.703219604E-1,-3.174643295E1,-6.888375549E0
2.588773416E0,-3.701203308E0,-2.642410080E1,-5.705385590E0
2.598774416E0,-7.919132080E0,-2.682661377E1,-4.076173553E0
2.608775416E0,-9.360484772E0,-2.667363190E1,1.310150528E1
2.618777417E0,-6.494095459E0,-2.440494965E1,1.958018280E1
