"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-9.409165941E-4,-4.270619202E-1,5.428311768E0,6.597230988E0
9.060083423E-3,-2.903961182E-1,5.176535339E0,6.735243988E0
1.906208321E-2,-7.604187012E-2,4.988825684E0,6.885232086E0
2.906408347E-2,-5.074447632E-1,4.451742554E0,7.021748199E0
3.906608326E-2,-4.264631653E-1,4.413422241E0,7.217690735E0
4.906808352E-2,-1.263073425E0,4.726121979E0,6.596332855E0
5.906908307E-2,-1.560654602E0,5.301525421E0,5.841901703E0
6.907108333E-2,-9.307644653E-1,5.908662872E0,5.836812286E0
7.907308312E-2,-1.361119537E0,5.736969910E0,6.035598907E0
8.907508338E-2,-1.905836792E0,5.203479309E0,6.354735260E0
9.907708317E-2,-1.895807648E0,4.701423340E0,6.895410919E0
1.090790834E-1,-1.640139313E0,4.315974884E0,7.236102448E0
1.190800834E-1,-1.333427124E0,4.455335083E0,7.166497192E0
1.290820832E-1,-1.160386963E0,4.908742218E0,7.185657349E0
1.390840835E-1,-9.714797974E-1,4.940176849E0,7.362888794E0
1.490860833E-1,-1.103056183E0,4.599784698E0,7.324418793E0
1.590880831E-1,-1.492246857E0,4.416416016E0,7.024292908E0
1.690890831E-1,-2.075883179E0,4.560865631E0,6.667285309E0
1.790910834E-1,-2.452799377E0,4.931045837E0,6.444398804E0
1.890930831E-1,-2.365979919E0,5.096451874E0,6.524781647E0
1.990950834E-1,-2.142195282E0,5.006488953E0,6.834188232E0
2.090970832E-1,-1.916464691E0,4.815037079E0,7.197632446E0
2.190990834E-1,-1.565145264E0,4.717589722E0,7.443870392E0
2.291000835E-1,-1.323098602E0,4.820126495E0,7.449109497E0
2.391020833E-1,-9.663903809E-1,5.122348022E0,7.293732605E0
2.491040835E-1,-5.041516113E-1,5.381309509E0,7.151678009E0
2.591060833E-1,-8.529263306E-1,4.707111511E0,6.708000641E0
2.691080831E-1,4.326004028E-2,4.765041046E0,6.685846710E0
2.791100834E-1,3.278182983E-2,4.776267700E0,7.058871002E0
2.891110834E-1,-1.045276337E0,4.200714569E0,6.678811340E0
2.991130832E-1,-7.024891663E-1,4.840933228E0,6.431824951E0
3.091150834E-1,-9.345066833E-1,5.310806122E0,6.336922302E0
3.191170832E-1,-1.210233307E0,6.002667389E0,6.684649200E0
3.291190835E-1,-1.599723358E0,5.935906219E0,7.228318634E0
3.391200835E-1,-2.503693542E0,5.820346527E0,6.924450531E0
3.491220833E-1,-3.927382965E0,6.328240356E0,6.011049957E0
3.591240831E-1,-4.840334473E0,6.686894531E0,7.103627930E0
3.691260833E-1,-3.700155487E0,6.199208679E0,9.410181427E0
3.791280831E-1,-2.722837830E0,5.079836426E0,6.423891449E0
3.891300834E-1,-2.614912262E0,4.171375580E0,-4.879852295E-1
3.991310834E-1,-3.907324677E0,3.728895721E0,1.554966431E0
4.091330832E-1,-2.678380280E0,5.436394958E0,4.188440094E0
4.191350834E-1,-2.297572174E0,6.002068634E0,7.511829071E0
4.291370832E-1,-3.810625763E0,4.757406921E0,8.849746857E0
4.391390835E-1,-4.276906128E0,3.372636566E0,7.206164703E0
4.491410833E-1,-3.754342804E0,3.034340057E0,3.771557007E0
4.591420833E-1,-3.287313995E0,3.591481476E0,8.345146179E-1
4.691440831E-1,-2.321971436E0,3.465144196E0,1.481768646E0
4.791460834E-1,-6.010002136E-1,7.008425903E-1,3.318000183E0
4.891480831E-1,2.533182220E0,-2.073188782E0,3.162623291E0
4.991500834E-1,6.896758118E0,-1.563947754E0,3.808829498E0
5.091520832E-1,6.896907806E0,1.785786438E-1,5.087919617E0
5.191530832E-1,3.711082764E0,-1.097817078E0,7.390132141E0
5.291550835E-1,-3.893403625E-1,-3.080444183E0,7.871231689E0
5.391570833E-1,-2.360591125E0,-5.137915649E0,8.068371735E0
5.491590835E-1,-2.820883942E0,-4.088747406E0,6.353986816E0
5.591610833E-1,-1.854044495E0,-3.623065796E0,5.303022308E0
5.691620833E-1,-1.436862030E0,-2.726729736E0,4.020489349E0
5.791640831E-1,-7.261399841E-1,-5.617368622E0,4.438569946E0
5.891660834E-1,-1.032552795E0,-7.894583130E0,3.970942383E0
5.991680832E-1,-2.237846375E0,-9.557175751E0,5.212460632E0
6.091700834E-1,-2.687361603E0,-9.465865631E0,5.099745026E0
6.191720832E-1,-3.377127228E0,-8.345295868E0,5.848188629E0
6.291730832E-1,-6.247707825E0,-7.547454987E0,7.180567932E0
6.391750835E-1,-8.954229584E0,-8.268804932E0,8.344697113E0
6.491770833E-1,-1.089120163E1,-9.379345551E0,8.649762726E0
6.591790831E-1,-1.123803040E1,-1.040276733E1,7.083120575E0
6.691810833E-1,-1.000788849E1,-1.094718521E1,4.738995209E0
6.791820833E-1,-7.896978149E0,-1.114028366E1,2.548749847E0
